,Unnamed: 0,title,개월,spell,token
39,39,한쪽만 먹고 다음텀에 다른쪽 먹여도 될까요?,0개월,한쪽만 먹고 다음 텀에 다른 먹여도 될까요?,한쪽 다음  다른 요
40,40,모유수유텀? 원래 이런건가요 ㅠ,0개월,모유  텀? 건가요 ㅠ,모유  건가
41,41,신생아 분유태울때 한스푼 단위로 늘리는건가요??,0개월,신생아 분유 태울 때 스푼 단위로 늘리는 건가요??,신생아 분유 때 스푼 단위 건가
42,42,출산 20일차 직수를 한번도 못해봤어요,0개월,출산 20일차 직수를 못해봤어요,출산 직수
43,43,모유수유 중 양념치킨,0개월,모유  양념치킨,모유 양념치킨
44,44,언제까지 3시간마다 한번씩,0개월,언제까지 3시간마다 번씩,언제 번
45,45,8일차 아기 쭈쭈젖꼭지 사용,0개월,8일차 아기 젖꼭지 사용,아기 젖꼭지 사용
46,46,신생아 모유수유 + 혼합수유 중인데 공차 먹어버렸어요ㅠㅠㅠ 괜찮나요???,0개월,신생아 모유  + 혼합수유 중인데 공차 먹어버렸어요ㅠㅠㅠ 괜찮나요???,신생아 모유 혼합  공차
47,47,신생아 직수와 유축,0개월,신생아 직수와 유축,신생아 직수 유축
48,48,완모가 가능하다고 가정했을때.. 질문있어요!,0개월,완모가 가능하다고 가정했을 때.. 질문 있어요!,완모 가정 때 질문
49,49,조리원 퇴소하고 첫날 어떻게 준비해야하나요?,0개월,조리원 퇴소하고 첫날 어떻게 준비해야 하나요?,조리 퇴 소하 첫날  하나요
50,50,모유수유를 계속해야할까요,0개월,모유 수유를 계속해야 할까요,모유  계속 요
51,51,출산 4일째 모유수유를 못하고있어요ㅜ,0개월,출산 4일째 모유 수유를 못하고 있어요ㅜ,출산 모유  못
52,52,출산5일차 직수할때 피가나요 ㅠㅠ,0개월,출산 5일차 직수할 때 피가 ㅠㅠ,출산 직수 때 피
53,53,유두까짐 유두보호기 어떤거 괜찮은가요?,0개월,유두 까짐 유두 보호기 어떤 괜찮은가요?,유두 짐 유두 보호 기
54,54,제왕+5일차 수유와 유축 도와주세요,0개월,제왕+5일차 수유와 유축 도와주세요,제왕  유축
55,55,초유양이 적어요,0개월,초유 양이 적어요,초유 양
56,56,신생아 단유하려고 분유줬는데 변비왔어요ㅠㅠ,0개월,신생아 다유 하려고 분유 줬는데 변비왔어요ㅠㅠ,신생아 유 분유 변비
57,57,14일차 모유량 많아요ㅠ(맘님들의견부탁드려요),0개월,14일차 모유량 많아요ㅠ(맘님들의 견 부탁드려요),유량 맘 견
58,58,초산맘 가슴열감팽창 유축?,0개월,초산 맘 가슴열감팽창 유축?,초산 맘 가슴 감 팽창 유축
59,59,16일차 아가 이렇게 먹는게 정상인가요?,0개월,16일차 아가 이렇게 먹는 정상인가요?,아가 정상
60,60,유축후에 항상 냉찜질해도 괜찮을까요?,0개월,유축 후에 항상 냉찜질해도 괜찮을까요?,유축 후 항상 찜질 해도
61,61,제왕 19일째,0개월,제왕 19일째,제왕
62,62,"둘째 단유할 계획인데, 의견들이 다 너무 다르네요",0개월,"둘째 다유 계획인데, 의견들이 다 다르네요",둘째 유  의견
63,63,생후 2주 저한테만 오면 먹다가 자는 아기,0개월,생후 2주 저한테만 먹다가 자는 아기,생후 테 아기
64,64,갑자기 모유량이......,0개월,갑자기 모유량이......,갑자기 유량
65,65,유두혼동일까요? ㅠㅠ 도움부탁드려요.,0개월,유두혼동일까요? ㅠㅠ 도움 부탁드려요.,유두 혼 동일 도움
66,66,지금 마지막 모유수유 하고 왔어요... 낼부터 단유,0개월,지금 마지막 모유 수유하고 왔어요... 낼부터 단유,지금 마지막 모유  낼 유
67,67,신생아 수유텀 1시간... 살려주세요...,0개월,신생아   1시간... 살려주세요...,신생아
68,68,배가 불러야 잠드는 아기,0개월,배가 불러야 잠드는 아기,배 아기
69,69,여아 신생아 분유,0개월,여아 신생아 분유,여 신생아 분유
70,70,24일차 4.4키로 아기 분유량이요 ㅜ,0개월,24일차 4.4킬로 아기 분유 냥이요 ㅜ,킬로 아기 분유 냥
71,71,제왕절개한지 4일째인데 젖돌 기미도 안보여요,0개월,제왕절개한지 4일째인데 젖들 기미도 보여요,제왕절개 모유 기미
72,72,초산인데 양이 너무 많아요ㅠ,0개월,초산인데 양이 많아요ㅠ,초산 양
73,73,수유양 적당한지 어떻게 구별하세요?,0개월,수유 양 적당한지 어떻게 구별하세요?,수유 양 구별
74,74,제왕절개 후 모유수유 시기,0개월,제왕절개 후 모유  시기,제왕절개 후 모유 시기
75,75,유축수유만 하신분 계신가요..? ㅜㅜ,0개월,유축 수유만 분 계시나요..? ㅜㅜ,유축  분
76,76,1시간마다 조금씩 먹는 아기,0개월,1시간마다 조금씩 먹는 아기,아기
77,77,모유수유 질문드립니당,0개월,모유  질문드립니다,모유 질문
78,78,신생아 분유 먹다가 잠들때 먹이는 시간ㅠ,0개월,신생아 분유 먹다가 잠들 때 먹이는 시간ㅠ,신생아 분유 때 시간
79,79,최대시간!,0개월,최대 시간!,최대 시간
80,80,모유수유만 하면 애기가 자요 ㅠㅠ,0개월,모유 수유만 아기가 자요 ㅠㅠ,모유  아기 자
81,81,신생아 분유양이요~,0개월,신생아 분유 양이요~,신생아 분유 이요
82,82,직수 유축 도와주세요 ㅜㅠ,0개월,직수 유축 도와주세요 ㅜㅠ,직수 유축
83,83,제왕절개 후 모유수유,0개월,제왕절개 후 모유 수유,제왕절개 후 모유 수유
84,84,생후 28일차 혼합수유,0개월,생후 28일차 혼합수유,생후 혼합 수유
85,85,둘째 모유수유..,0개월,둘째 모유 수유..,둘째 모유 수유
86,86,한달 안된 아기 분유량 어떻게 되시나요???,0개월,한 달 아기 분유 어떻게 되시나요???,달 아기 분유
87,87,모유수유에 대한 고민,0개월,모유 수유에 고민,모유  고민
88,88,모유가 안나와요ㅠㅜ,0개월,모유가 안나와요ㅠㅜ,모유
89,89,30일된 아기 분유양 궁금합니다,0개월,30일 아기 분유 양 궁금합니다,아기 분유 양
90,90,분유고민,0개월,분이 고민,분 고민
91,91,이상하게 오른쪽만 물리면 애가 잘 게워내요ㅠㅠ,0개월,이상하게 오른쪽만 물리면 애가 게워내요ㅠㅠ,오른쪽 물리 애가
92,92,태어나자 마자 직수...유축...?,0개월,태어나자마자 직수... 유축...?,직수 유축
93,93,"정말 모르겠네요,,,",0개월,"정말 모르겠네요,,,",정말
94,94,신생아 달라는대로 직수 하시나요?,0개월,신생아 달라는 직수하시나요?,신생아 달라 직 수하 시나
95,95,제왕절개 3일차 모유가 안 나와요,0개월,제왕절개 3일차 모유가 나와요,제왕절개 모유
96,96,젖양늘리는방법좀요.. 출산5일차ㅠㅠ 도와주세요,0개월,젖양 늘리는 어떻게 좀요.. 출산5일차ㅠㅠ 도와주세요,젖 좀 출산
97,97,직수 열심히하면 젖몸살 예방되나요,0개월,직수 열심히 젖몸살 예방되나요,직수 모유 몸살 예방
98,98,모유가 부족하지는 않은 것 같은데 아이가 항상 배고파해요 ㅠ,0개월,모유가 부족하지는 같은데 아이가 항상 배고파해요 ㅠ,모유 아이 항상 해
99,99,모유수유 이게그렇게 힘들쥴은..,0개월,모유  그렇게 힘들 줄은..,모유 줄
100,100,출산 13일차 유축량 안 늘어요 ㅠㅠ,0개월,출산 13일차 유축 늘어요 ㅠㅠ,출산 유축
101,101,출산5일차 젖몸살ㅠ,0개월,출산 5일차 젖몸살ㅠ,출산 모유 몸살
102,102,모유 잘 나오는데 젖이도는건가요? 유선통증 겪어보신분,0개월,모유 나오는데 젖이 건가요? 가슴 통증 겪어보신 분,모유 모유 가슴 통증 분
103,103,하루 20시간 혼돈의 수유 중입니다..뭐가 문제일까요,0개월,하루 20시간 혼돈의  중입니다.. 뭐가 문제일까요,하루 혼돈 뭐 제일
104,104,조리원퇴소첫날ㅎ,0개월,조리원 퇴소 첫날ㅎ,조리 퇴소 첫날
105,105,"출산 3주째, 모유수유(단유) 잘 아시는분..!",0개월,"출산 3주째, 모유 수유(단 유) 아시는 분..!",출산 모유  단 유 아시 분
106,106,조리원퇴소후집에오면젖양이줄어드나요?,0개월,조리원 퇴소 후 집에 젖양이 줄어드나요?,조리 퇴소 후  모유 드 요
107,107,출산4일차 젖뭉침ㅜㅜ,0개월,출산 4일차 모유 뭉침ㅜㅜ,출산 모유
108,108,30일 모유수유,0개월,30일 모유 수유,모유 수유
109,109,초유색깔,0개월,초유 색깔,초유 색깔
110,110,생후24일 쌍둥이 분유량좀 봐주세요,0개월,생후 24일 쌍둥이 분유랑 좀 봐주세요,생후 쌍둥이 분유 좀
111,111,분유수유 하고 싶네요..,0개월,분유 수유하고 싶네요..,분유 수유
112,112,직수와 유축 ㅜ,0개월,직수와 유축 ㅜ,직수 유축
113,113,유축 초유짰는데 좀봐주세요ㅜ,0개월,유축 초유 짰는데 좀 봐주세요ㅜ,유축 초유 좀
114,114,신생아 먹다 잠들어 트림을 안해서 배앓이가 심해요.,0개월,신생아 먹다 잠들어 트림을 배앓이가 심해요.,신생아 트림 배앓이 심해
115,115,출산 4일차,0개월,출산 4일차,출산
116,116,수유 하고 얼마안되서 또 찾는 것 같은 아기?,0개월,수유하고 찾는 같은 아기?,수유 아기
117,117,제왕4일차 가슴 아파요 ㅠ,0개월,제왕 4일차 가슴 아파요 ㅠ,제왕 가슴
118,118,젖 물릴때 아가가 잘 무나요?,0개월,젖 물릴 때 아가가 무나요?,젖 때 아가 요
119,119,모유수유시 유두보호기 하시는분?,0개월,모유  유두 보호기 하시는 분?,모유 유두 보호 분
120,120,출산후 바로 단유 ㅠㅠ,0개월,출산 후 바로 다유 ㅠㅠ,출산 후 바로 유
121,121,분유 100 탈때요,0개월,분유 100 탈 때요,분유 탈 때
122,122,유축할때 얼마나하시나요ㅜ,0개월,유축할 때 얼마나 하시나요ㅜ,유축 때 얼마나
123,123,젓차는 속도가 너무 달라요.,0개월,젓 차는 속도가 달라요.,젓 속도 달라
124,124,심한치밀유방에 아기직수거부 언제까지 모유수유하셨나요?,0개월,심한 치밀유방 유방에 아기 직수 거부 언제까지 모유 수유하셨나요?,치밀 유방 유방 아기 직수 거부 시간 모유 수유
125,125,응가 누고 모유먹는 건 입가심일까요..,0개월,응가 누고 모유 먹는 입가심일까요..,누 모유 입가 심일
126,126,신생아 혼합수유 질문이요...,0개월,신생아 혼합수유 질문이요...,신생아 혼합  질문
127,127,우리아기 분유양좀 봐주세요,0개월,우리 아기 분유 양 좀 봐주세요,우리 아기 분유 양 좀
128,128,"모유 30분먹고 잠 못드는아기, 분유 60먹고 푹잔다면?",0개월,"모유 30분 먹고 수면 드는 아기, 분유 60 먹고 잔 다면?",모유 아기 분유 잔
129,129,산후 가슴마사지 필요할까요?,0개월,산후 가슴 마사지 필요할까요?,산후 가슴 마사지 요
130,130,젖양이 줄어요ㅠ,0개월,젖양이 줄어요ㅠ,젖
131,131,초유 못 먹인거같아요..,0개월,초유 먹인 같아요..,초유
132,132,패닉이에요 저 좀 도와주세요 ㅜㅜㅜㅜㅜㅜ,0개월,패닉이에요 좀 도와주세요 ㅜㅜㅜㅜㅜㅜ,패닉 좀
133,133,분유텀 한번봐주세요ㅜ,0개월,분유  한번 봐주세요ㅜ,분유 한번
134,134,22일된 신생아 모유수유ㅜㅜ,0개월,22일 신생아 모유 수유ㅜㅜ,신생아 모유 수유
135,135,모유수유 처음부터 않하고 단유 하려하는데요..,0개월,모유  처음부터 다유 하는데요..,모유 처음 유
136,136,삼십분이나 한시간마다 먹는데요..솔루션좀요 ㅠㅠ,0개월,삼십분이나 시간마다 먹는데요.. 설루션 좀 ㅠㅠ,삼십분 시간 설루션 좀
137,137,출산 6일째인데,0개월,출산 6일째인데,출산
138,138,조리원에서 모유수유중인데 아가가 자꾸 잠들어요 ㅠㅠ,0개월,조리원에서 모유  중인데 아가가 잠들어요 ㅠㅠ,조리 모유 아가
139,139,신생아 한쪽만 먹고 잠들었는데ㅠㅠ,0개월,신생아 한쪽만 먹고 잠들었는데ㅠㅠ,신생아 한쪽
140,140,젖만물리면자는데 어떻게해야할까요ㅜ,0개월,젖만 물리면 자는데 어떻게 할까요ㅜ,젖 물리 요
141,141,유두보호기 떼려고 하는데요,0개월,유두 보호기 떼려고 하는데요,유두 보호 기
142,142,조리원에서 초유 유축 질문,0개월,조리원에서 초유 유축 질문,조리 초유 유축 질문
143,143,28일차 여자아기 수유량 적정한가요?,0개월,28일차 여자아기 수유량 적정한가요?,여자 아기 유량
144,144,제왕했는데 보통 몇일째부터 젖이돌까요?,0개월,제왕 했는데 며칠째부터 젖이 돌까요?,제왕 며칠 모유 요
145,145,출생12일차 아기 5시간씩 자나요?,0개월,출생 12일차 아기 5시간씩 자나요?,출생 아기
146,146,조리원에 분유,0개월,조리원에 분유,조리 분유
147,147,조리원나가면 완분할 예정인데 젖병 뭘 얼마나 사야할까요?,0개월,조리원 나가면 와는 분할 예정인데 젖병 뭘 얼마나 사야 할까요?,조리 분할 예정 젖병 뭘 얼마나 요
148,148,완모중인데 응가를 안해요;;,0개월,완모 중인데 응가를 해요;;,완모 해
149,149,산후조리원에서 액상분유를 먹인대요.,0개월,산후조리원에서 액상분유를 먹인대요.,산후조리원 액 분유 대요
150,150,"모유수유 시작도 못하고 연습단계인데, 휴, ㅎㅎㅎㅎ",0개월,"모유  시작도 못하고  단계인데, 휴, ㅎㅎㅎㅎ",모유  단계
151,151,애기가 자꾸 잠드는 문제,0개월,아기가 잠드는 문제,아기 문제
152,152,조리원퇴소 후 (ㅠ알려주세요 ),0개월,조리원 퇴소 후 (ㅠ알려주세요 ),조리 퇴소 후
153,153,모유수유 힘드네요ㅜ,0개월,모유  힘드네요ㅜ,모유
154,154,모유수유예정인데 분유 필요한가요??,0개월,모유  예정인데 분유 필요한가요??,모유 예정 분유
155,155,30일 신생아 수유텀 어찌들되시나요?,0개월,30일 신생아   어찌들 되시나요?,신생아 어찌
156,156,분유선택,0개월,분유 선택,분유 선택
157,157,양이 많아서일까요?,0개월,양이 많아서일까요?,양 서일
158,158,조리원 나가면 혼합하려하는데 분유,0개월,조리원 나가면 혼합하려 하는데 분유,조리 혼합 분유
159,159,"모유수유,분유수유..고민입니다ㅜㅜ",0개월,"모유 수유, 분유 수유.. 고민입니다ㅜㅜ",모유  분유  고민
160,160,젖은 차는데 찌릿느낌은 없어요 ㅠ,0개월,젖은 차는데 찌릿 느낌은 없어요 ㅠ,찌릿 느낌
161,161,조리원에서 계속 직수 하세요?,0개월,조리원에서 계속 직수하세요?,조리 계속 직 수하 세
162,162,언제까지 나오는게 초유인가요??,0개월,언제까지 나오는 초유인가요??,언제 초유
163,163,열심히 모유수유 하는데 도우미 이모님이....,0개월,열심히 모유 수유하는데 도우미 이모님이....,모유  도우미 이모
164,164,애기가 젖을 잘안빨아요,0개월,아기가 젖을 빨아요,아기 젖
165,165,초유,0개월,초유,초유
166,166,신생아 트림이요 ㅠㅠㅠㅠㅠ,0개월,신생아 트림이요 ㅠㅠㅠㅠㅠ,신생아 트림
167,167,20일 아기 분유,0개월,20일 아기 분유,아기 분유
168,168,출산13일차 유축기 안쓰기,0개월,출산 13일차 유축 쓰기,출산 유축 쓰기
169,169,오케타니 마사지 질문이요,0개월,오케타니 마사지 질문이요,오케타 마사지 질문
170,170,신생아 수유량,0개월,신생아 수유량,신생아 유량
171,171,화요일에 자연분만 했는데 젖이 안도네요 ㅠㅠ,0개월,화요일에 자연분만했는데 젖이 안도네요 ㅠㅠ,화요일 자연 젖
172,172,직수거부아기,0개월,직수 거부 아기,직수 거부 아기
173,173,제왕절개 후 모유수유,0개월,제왕절개 후 모유 수유,제왕절개 후 모유 수유
174,174,출산 4일째... 가슴이 단단해요 ㅠㅠ,0개월,출산 4일째... 가슴이 단단해요 ㅠㅠ,출산 가슴
175,175,초유,0개월,초유,초유
176,176,신생아 수유텀,0개월,신생아  텀,신생아 텀
177,177,신생아 분유 퓨어락vs 트루맘,0개월,신생아 분유 퓨어락vs 트루맘,신생아 분유 퓨어 락 맘
178,178,제왕4일차 가슴에서 뭐가 뚝뚝 떨어지는데 이게 초유인가요??,0개월,제왕 4일차 가슴에서 뭐가 떨어지는데 초유인가요??,제왕 가슴 뭐 초유
179,179,신생아 직수 조리원 유축,0개월,신생아 직수 조리원 유축,신생아 직수 조리 유축
180,180,"28일차아기, 20분직수 후 수면텀 확인좀요ㅜ",0개월,"28일차 아기, 20분 직수 후   좀 요ㅜ",아기 직수 후 좀 요
181,181,수유 방법 좀 가르쳐주세요 ㅜㅜ,0개월,수유 어떻게 좀 가르쳐주세요 ㅜㅜ,수유 좀
182,182,애기가젖을빠는 시간이요 왜이러는건지..도와쥬세요ㅜㅜ,0개월,아기가 젖을 빠는 시간이요 왜 이러는 건지.. 도와주세요ㅜㅜ,아기 모유 시간 왜
183,183,자분 4일차 유축양 늘까요?,0개월,자분 4일차 유축 양 늘까요?,자 유축 양 요
184,184,첫 유축기 사용 시간 15분씩 하는게 젤 좋나요?,0개월,첫 유축  시간 15분씩  좋나요?,첫 유축 시간
185,185,"신생아 모유수유중 우유, 치즈케이크 먹어도 되나요?",0개월,"신생아 모유  우유, 치즈케이크 먹어도 되나요?",신생아 모유 우유 치즈케이크
186,186,모유 돌때 등이 아플 수 있나요??,0개월,모유 돌때 등이 아플 있나요??,모유 돌때 등
187,187,젖몸살<U+0001F62D>,0개월,젖몸살<U+0001F62D>,젖 몸살
188,188,왕초보맘입니다..열탕소독하는법좀 알려주세요^^;;,0개월,왕초보맘입니다.. 열탕소독하는 법 좀 알려주세요^^;;,왕초보 맘   법 좀
189,189,제왕4일차예요,0개월,제왕 4일차예요,제왕
190,190,제왕절개 후 모유수유,0개월,제왕절개 후 모유 수유,제왕절개 후 모유 수유
191,191,유축 80~100나오는데요ㅠ두시간인데 벌써차요,0개월,유축 80~100 나오는데요ㅠ두 시간인데 벌써 차요,유축 두 시간 벌써 차요
192,192,모유양이 넘 적어요ㅠ,0개월,모유 양이 적어요ㅠ,모유 양
193,193,분만날에 개인분유 갖다드리는건 별루인가요?,0개월,분만 날에 개인 분유 갖다 드리는 별로인가요?,분만 날 개인 분유 별로
194,194,유두가 부풀어오름,0개월,유두가 부풀어 오름,유두 오름
195,195,모유수유하는 아기도 밤수 안하는날이 오나요,0개월,모유 수유하는 아기도 시간 날이 오나요,모유  아기 시간 날
196,196,단유,0개월,단유,유
197,197,20일 신생아인데 분유가 모자라서 그러나요?,0개월,20일 신생아인데 분유가 모자라서 그러나요?,신생아 분유
198,198,모유차는 시간?,0개월,모유 차는 시간?,모유 시간
199,199,모유수유때문에 스트레스가 장난아니네요ㅜ,0개월,모유  때문에 스트레스가 장난 아니네요ㅜ,모유 때문 스트레스 장난
200,200,제왕절개 후 모유수유,0개월,제왕절개 후 모유 수유,제왕절개 후 모유 수유
201,201,모유가 안나올 수도 있나요??,0개월,모유가 수도 있나요??,모유 수도
202,202,20일 신생아 먹는거 질문이요ㅠ,0개월,20일 신생아 먹는 질문이요ㅠ,신생아 질문
203,203,"후디스 산양 먹이는데, 분유 갈아타라 말아라 조언해주세요ㅠㅠㅠㅠ",0개월,"후디스 산양 먹이는데, 분유 갈아타라 말아라 조언해주세요ㅠㅠㅠㅠ",후 디스 산양 분유 조언
204,204,도와주세요,0개월,도와주세요,
205,205,모유수유 팁과 응원부탁드려요ㅜㅜ,0개월,모유  팁과 응원 부탁드려요ㅜㅜ,모유 팁 응원
206,206,신생아 게어냄과 토해도 먹을시간되면,0개월,신생아 게워냄과 토해도 먹을 시간 되면,신생아 토 시간
207,207,조리원에서 유축 꼭 해야하는건가요?,0개월,조리원에서 유축 건가요?,조리 유축 건가
208,208,모유수유중 자면 안먹어요ㅠ,0개월,모유  자면 먹어요ㅠ,모유
209,209,분유추천해주세요ㅠㅠ,0개월,분유추천해주세요ㅠㅠ,분유 추천
210,210,신생아 거의 완모.. 잘하고 있는건가요?,0개월,신생아 거의 완모.. 잘하고 있는 건가요?,신생아 거의 시간 건가
211,211,단유약처방받아왔어요,0개월,단 유약 처방받아왔어요,단 유약 처방
212,212,쭈쭈젖꼭지 사용중인데요ㅠ,0개월,쭈쭈 젖꼭지  중인데요ㅠ,쭈쭈 젖꼭지 요
213,213,쭈쭈젖꼭지,0개월,쭈쭈 젖꼭지,쭈쭈 젖꼭지
214,214,유축하실때요,0개월,유축하실 때요,유 축하 때
215,215,무지한 엄마 아빠때문에 배앓이 한거같아요,0개월,무지한 엄마 아빠 때문에 배앓이 같아요,엄마 아빠 때문 배앓이
216,216,도와주세요,0개월,도와주세요,
217,217,신생아 모유수유 관련..,0개월,신생아 모유  관련..,신생아 모유 관련
218,218,분유+모유 섞으면 안되는 이유가...?,0개월,분유+모유 섞으면 이유가...?,분유 모유 이유
219,219,12일 아기 수유콜 와서 올라가면 잠만자요,0개월,12일 아기  올라가면 잠만 자요,아기 자
220,220,모유가 거의 안나와요,0개월,모유가 거의 나와요,모유 거의
221,221,모유수유 문의드립니다ㅠㅡㅠ잘 하고 있는건가요?!,0개월,모유  문의드립니다ㅠㅡㅠ잘 있는 건가요?!,모유 질문 건가
222,222,초유 끝난건지 봐주세요ㅠ,0개월,초유 끝난 봐주세요ㅠ,초유
223,223,"아니, 수유하는 동안 아기들이 가만히 있는건가요?! 정녕?!?! 진짜로?????",0개월,"아니, 수유하는 아기들이 가만히 있는 건가요?! 정녕?!?! 진짜로?????",수유 아기 진짜
224,224,30일 아기 분유 수유랑 도와주세요 ㅠㅠ,0개월,30일 아기 분유 수유랑 도와주세요 ㅠㅠ,아기 분유 수유
225,225,유축수유 완모에서 혼합이요,0개월,유축  완모에서 혼합이요,유축 시간 혼합
226,226,모유가 잘안나와요.,0개월,모유가 나와요.,모유
227,227,신생아 수유할때 깨우는 법 알려주세요,0개월,신생아 수유할 때 깨우는 법 알려주세요,신생아  때 법
228,228,신생아 분유 또 바꿔야 될까요 ?ㅜㅜ,0개월,신생아 분유 바꿔야 될까요 ?ㅜㅜ,신생아 분유 요
229,229,신생아 분유 탈때요!,0개월,신생아 분유 탈 때요!,신생아 분유 탈 때
230,230,모유는 수유텀이 없나여...??,0개월,모유는  텀이 없나요...??,모유 텀
231,231,출산8일째 모유량이너무적어요..,0개월,출산 8일째 모유량이 적어요..,출산 유량
232,232,수유중에 독감 주사 맞을수 있나요?,0개월,수유 독감 약 맞을 있나요?,수유 독감 약
233,233,젖 안무는 아이 아**곡 같은 곳에서 교정가능할까요?,0개월,젖 안무는 아이 아**곡 같은 곳에서 교정 가능할까요?,젖 안무 아이 곡 교정 요
234,234,혼합수유 유두혼동인거요?,0개월,혼합수유 유두혼동인 거요?,혼합  유두 혼동 거
