,title,개월,spell,token
63,시 2주 저한테만 오면 먹다가 자는 아기,0개월,시 2주 저한테만 오면 먹다가 자는 아기,시 주 테 아기
64,갑자기 모유량이......,0개월,갑자기 모 유량이......,갑자기 모 유량
65,유두일까요? ㅠㅠ 도움부탁드려요.,0개월,유두일까요? ㅠㅠ 도움 부탁드려요.,유두 요 도움
66,지금 마지막 모유 하고 왔어요... 낼부터 다유,0개월,지금 마지막 모유 하고 왔어요... 낼부터 다유,지금 마지막 모유 낼 유
67,신생아  1시... 살려주세요...,0개월,신생아 1시... 살려주세요...,신생아
68,가 불러야 수면드는 아기,0개월,가 불러야 수면드는 아기,수면 아기
69,여아 신생아 분유,0개월,여아 신생아 분유,여 신생아 분유
70,24일차 4.4키로 아기 분유이요 ㅜ,0개월,24일 차 4.4키로 아기 분유이요 ㅜ,차 아기 분유
71,제왕절삭지 4일째인데 모유시 기미도 안보여요,0개월,제왕절삭지 4일째인데 모유 시간 기미도 안 보여요,제왕 절삭 모유 시간 기미 안
72,초산인데 양이 너무 많아요ㅠ,0개월,초산인데 양이 너무 많아요ㅠ,초산 양
73,양 적당한지 어떻게 구별하세요?,0개월,양 적당한 지 어떻게 구별 하세요?,양 구별
74,제왕절 후 모유 시기,0개월,제왕절 후 모유 시기,제왕 절 후 모유 시기
75,유축만 하신분 계신가요..? ㅜㅜ,0개월,유축만 하신 분 계신가요..? ㅜㅜ,유축 분
76,1시마다 조금씩 먹는 아기,0개월,1시마다 조금씩 먹는 아기,아기
77,모유 문드립니당,0개월,모유 문드립니당,모유 드립
78,신생아 분유 먹다가 수면들때&먹이는 시ㅠ,0개월,신생아 분유 먹다가 수면들 때& 먹이는 시ㅠ,신생아 분유 수면 때 시
79,최대시!,0개월,최대 시!,최대 시
80,모유만 하면 애기가 자요 ㅠㅠ,0개월,모유만 하면 애기가 자요 ㅠㅠ,모유 애기 자
81,신생아 분유양이요~,0개월,신생아 분유 양이요~,신생아 분유 이요
82,직수 유축 도와주세요 ㅜㅠ,0개월,직수 유축 도와 주세요 ㅜㅠ,직수 유축 도
83,제왕절 후 모유,0개월,제왕절 후 모유,제왕 절 후 모유
84,시 28일차 혼합,0개월,시 28일 차 혼합,시 차 혼합
85,지칭 모유..,0개월,지칭 모유..,지칭 모유
86,한달 안된 아기 분유 어떻게 되시나요???,0개월,한 달 안 된 아기 분유 어떻게 되시나요???,달 안 아기 분유
87,모유에 대한 고민,0개월,모유에 대한 고민,모유 대한 고민
88,모유가 안나와요ㅠㅜ,0개월,모유가 안 나와 요ㅠㅜ,모유 안 요
89,30일된 아기 분유양 궁금합니다,0개월,30일 된 아기 분유 양 궁금합니다,아기 분유 양
90,분유고민,0개월,분유 고민,분유 고민
91,이상하게 치만 리면 애가 잘 게워내요ㅠㅠ,0개월,이상하게 치만 리면 애가 잘 게워내 요ㅠㅠ,치 리 애가 요
92,태어나자 마자 직수...유축...?,0개월,태어나자 마자 직수...유축...?,마자 직수 유축
93,"정말 모르겠네요,,,",0개월,"정말 모르겠네요,,,",정말
94,신생아 달라는대로 직수 하시나요?,0개월,신생아 달라는 대로 직수 하시나요?,신생아 달라 대로 직수
95,제왕절 3일차 모유가 안 나와요,0개월,제왕절 3일차 모유가 안 나와요,제왕 절 모유 안
96,모유양늘리는어떻게좀요.. 출산5일차ㅠㅠ 도와주세요,0개월,모유 양 늘리는 어떻게 좀요.. 출산 5일차 ㅠㅠ 도와주세요,모유 양 좀 출산
97,직수 열심히하면 모유살 되나요,0개월,직수 열심히 하면 모유살 되나요,직수 모유 살
98,모유가 부족하지는 않은 것 같은데 아이가 항상 고파해요 ㅠ,0개월,모유가 부족하지는 않은 것 같은데 아이가 항상 고파해요 ㅠ,모유 것 아이 항상 해
99,모유 이게그렇게 힘들쥴은..,0개월,모유 이게 그렇게 힘들쥴은..,모유 이 힘들쥴
100,출산 13일차 유축 안 늘어요 ㅠㅠ,0개월,출산 13일차 유축 안 늘어요 ㅠㅠ,출산 유축 안
101,출산5일차 모유살ㅠ,0개월,출산 5일차 모유살ㅠ,출산 모유 살
102,모유 잘 나오는데 모유이도는건가요? 가슴 겪어보신분,0개월,모유 잘 나오는데 모유 이도는 건가요? 가슴 통증 겪어보신 분,모유 모유 이도 건가 가슴 통증 보신 분
103,하루 20시 혼돈의  중니다..뭐가 문제일까요,0개월,하루 20 시 혼돈의 중니다..뭐가 문제일까요,하루 시 혼돈 중니 뭐 제일
104,조리원퇴소첫날ㅎ,0개월,조리원 퇴소 첫날ㅎ,조리 퇴소 첫날
105,"출산 3주째, 모유(다유) 잘 아시는분..!",0개월,"출산 3주째, 모유(다유) 잘 아시는 분..!",출산 주 모유 유 아시 분
106,조리원퇴소후에오면모유양이줄어드나요?,0개월,조리원 퇴소 후에 오면 모유 양이 줄어드나요?,조리 퇴소 후 모유 양 드 요
107,출산4일차 모유뭉침ㅜㅜ,0개월,출산 4일차 모유 뭉침ㅜㅜ,출산 모유
108,30일 모유,0개월,30일 모유,모유
109,초유깔,0개월,초유깔,초유
110,시24일 쌍둥이 분유좀 봐주세요,0개월,시 24일 쌍둥이 분유 좀 봐주세요,시 쌍둥이 분유 좀
111,분유 하고 싶네요..,0개월,분유 하고 싶네요..,분유
112,직수와 유축 ㅜ,0개월,직수와 유축 ㅜ,직수 유축
113,유축 초유짰는데 좀봐주세요ㅜ,0개월,유축 초유짰는 데 좀 봐주세요ㅜ,유축 초유 데 좀
114,신생아 먹다 수면들어 트림을 안해서 배앓이가 심해요.,0개월,신생아 먹다 수면 들어 트림을 안해서 배앓이가 심해요.,신생아 수면 트림 안해 배앓이 심해
115,출산 4일차,0개월,출산 4일차,출산
116, 하고 안되서 또 찾는 것 같은 아기?,0개월,하고 안 되서 또 찾는 것 같은 아기?,안 또 것 아기
117,제왕4일차 가슴 아파요 ㅠ,0개월,제왕 4일차 가슴 아파요 ㅠ,제왕 가슴
118,모유 릴때 아가가 잘 무나요?,0개월,모유 릴 때 아가가 잘 무나요?,모유 릴 때 아가 무 요
119,모유시 유두보호기 하시는분?,0개월,모유 시 유두 보호기 하시는 분?,모유 시 유두 보호 기 분
120,출산후 바로 다유 ㅠㅠ,0개월,출산 후 바로 다유 ㅠㅠ,출산 후 바로 유
121,분유 100 탈때요,0개월,분유 100 탈 때요,분유 탈 때
122,유축할때 나하시나요ㅜ,0개월,유축할 때 나하시나요ㅜ,유축 때 나
123,젓차는 속도가 너무 달라요.,0개월,젓차는 속도가 너무 달라요.,젓 속도 달라
124,심한치밀유방유방유방에 아기직수거부 시까지 모유하셨나요?,0개월,심한 치밀유방 유방에 아기 직수 거부 시까지 모유하셨나요?,치밀 유방 유방 아기 직수 거부 시 모유
125,응가 누고 모유먹는 건 가심일까요..,0개월,응가 누고 모유 먹는 건 가 심일까요..,누 모유 건 심일
126,신생아 혼합 문이요...,0개월,신생아 혼합 문이요...,신생아 혼합 이요
127,우리아기 분유양좀 봐주세요,0개월,우리 아기 분유 양 좀 봐주세요,우리 아기 분유 양 좀
128,"모유 30분먹고 수면 못드는아기, 분유 60먹고 푹잔다면?",0개월,"모유 30분 먹고 수면 못 드는 아기, 분유 60먹고 푹 잔다면?",모유 수면 못 아기 분유 푹
129,시 가슴마사지 할까요?,0개월,시간 가슴 마사지 할까요?,시간 가슴 마사지 요
130,모유양이 줄어요ㅠ,0개월,모유양이 줄어 요ㅠ,모유 요
131,초유 못 먹인거같아요..,0개월,초유 못 먹인 거 같아요..,초유 못 거
132,패닉이에요 저 좀 도와주세요 ㅜㅜㅜㅜㅜㅜ,0개월,패닉이에 요 저 좀 도와 주세요 ㅜㅜㅜㅜㅜㅜ,패닉 요 저 좀 도
133,분유 한번봐주세요ㅜ,0개월,분유 한 번 봐주세요ㅜ,분유 번
134,22일된 신생아 모유ㅜㅜ,0개월,22일 된 신생아 모유ㅜㅜ,신생아 모유
135,모유 처음부터 않하고 다유 하려하는데요..,0개월,모유 처음부터 않하고 다유 하려 하는데요..,모유 처음 유
136,삼십분이나 한시마다 먹는데요..솔루션좀요 ㅠㅠ,0개월,삼십분이나 한시마다 먹는데요.. 솔루션 좀 요 ㅠㅠ,삼십분 한시 솔루션 좀 요
137,출산 6일째인데,0개월,출산 6일째인데,출산
138,조리원에서 모유중인데 아가가 자꾸 수면들어요 ㅠㅠ,0개월,조리원에서 모유 중인데 아가가 자꾸 수면 들어 요 ㅠㅠ,조리 모유 중 아가 자꾸 수면 요
139,신생아 치만 먹고 수면들었는데ㅠㅠ,0개월,신생아 치만 먹고 수면 들었는데 ㅠㅠ,신생아 치 수면
140,모유만리면자는데 어떻게해야할까요ㅜ,0개월,모유만리면 자는데 어떻게 해야 할까요ㅜ,모유 만리 요
141,유두보호기 떼려고 하는데요,0개월,유두 보호기 떼려고 하는데요,유두 보호 기
142,조리원에서 초유 유축 문,0개월,조리원에서 초유 유축 문,조리 초유 유축 문
143,28일차 여자아기 량 삭가요?,0개월,28일 차 여자 아기 량 삭가요?,차 여자 아기 량 삭 가요
144,제왕했는데 보통 몇일째부터 모유이시까요?,0개월,제왕했는데 보통 몇일째부터 모유 이 시간까요?,제왕 보통 일 모유 이 시간
145,출생12일차 아기 5시씩 자나요?,0개월,출생 12일차 아기 5시씩 자나요?,출생 아기
146,조리원에 분유,0개월,조리원에 분유,조리 분유
147,조리원나가면 분유할 예정인데 모유 뭘 나 사야할까요?,0개월,조리원 나가면 분유할 예정인데 모유 뭘 나 사야 할까요?,조리 분유 예정 모유 뭘 나 요
148,시중인데 응가를 안해요;;,0개월,시간 중인데 응가를 안해요 ;;,시간 중 응 안해
149,시삭분유리원에서 분유명를 먹인대요.,0개월,시간 조리원에서 분 유명를 먹인 대요.,시간 조리 분 유명 를 대요
150,"모유 도 못하고 단계인데, 휴, ㅎㅎㅎㅎ",0개월,"모유 도 못하고 단계인데, 휴, ㅎㅎㅎㅎ",모유 도 못 단계
151,애기가 자꾸 수면드는 문제,0개월,애기가 자꾸 수면드는 문제,애기 자꾸 수면 문제
152,조리원퇴소 후 (ㅠ알려주세요 ),0개월,조리원 퇴소 후 (ㅠ 알려주세요 ),조리 퇴소 후
153,모유 힘드네요ㅜ,0개월,모유 힘드네요ㅜ,모유
154,모유예정인데 분유 삭가요??,0개월,모유 예정인데 분유 삭가요??,모유 예정 분유 삭 가요
155,30일 신생아  어찌들되시나요?,0개월,30일 신생아 어찌들 되시나요?,신생아 어찌
156,분유,0개월,분유,분유
157,양이 많아서일까요?,0개월,양이 많아서일까요?,양 서일
158,조리원 나가면 혼합하려하는데 분유,0개월,조리원 나가면 혼합하려 하는데 분유,조리 혼합 분유
159,"모유,분유..고민니다ㅜㅜ",0개월,"모유, 분유.. 고민니다ㅜㅜ",모유 분유 민니
160,모유은 차는데 찌릿느낌은 없어요 ㅠ,0개월,모유은 차는 데 찌릿 느낌은 없어요 ㅠ,모유 은 데 찌릿 느낌
161,조리원에서 계속 직수 하세요?,0개월,조리원에서 계속 직수 하세요?,조리 계속 직수
162,시까지 나오는게 초유인가요??,0개월,시까지 나오는 게 초유인가요??,시 게 초유
163,열심히 모유 하는데 도우미 지칭님이....,0개월,열심히 모유 하는데 도우미 지칭님이....,모유 도우미 지칭
164,애기가 모유을 잘안빨아요,0개월,애기가 모유을 잘 안 빨아요,애기 모유 을 안
165,초유,0개월,초유,초유
166,신생아 트림이요 ㅠㅠㅠㅠㅠ,0개월,신생아 트림이 요 ㅠㅠㅠㅠㅠ,신생아 트림 요
167,20일 아기 분유,0개월,20일 아기 분유,아기 분유
168,출산13일차 유축 안쓰기,0개월,출산 13일차 유축 안 쓰기,출산 유축 안 쓰기
169,브랜드명 마사지 문이요,0개월,브랜드 명 마사지 문이요,브랜드 명 마사지 이요
170,신생아 량,0개월,신생아 량,신생아 량
171,화요일에 자연출산 했는데 모유이 안도네요 ㅠㅠ,0개월,화요일에 자 연 출산 했는데 모유 이 안도네요 ㅠㅠ,화요일 자 연 출산 모유 이
172,직수거부아기,0개월,직수 거부 아기,직수 거부 아기
173,제왕절 후 모유,0개월,제왕절 후 모유,제왕 절 후 모유
174,출산 4일째... 가슴이 단단해요 ㅠㅠ,0개월,출산 4일째... 가슴이 단단해요 ㅠㅠ,출산 가슴
175,초유,0개월,초유,초유
176,신생아 ,0개월,신생아,신생아
177,신생아 분유 퓨어락vs 트루맘,0개월,신생아 분유 퓨어락 vs 트루맘,신생아 분유 퓨어 락 트루 맘
178,제왕4일차 가슴에서 뭐가 뚝뚝 떨어지는데 이게 초유인가요??,0개월,제왕 4일차 가슴에서 뭐가 뚝뚝 떨어지는데 이게 초유인가요??,제왕 가슴 뭐 뚝뚝 이 초유
179,신생아 직수 조리원 유축,0개월,신생아 직수 조리원 유축,신생아 직수 조리 유축
180,"28일차아기, 20분직수 후 수면 좀요ㅜ",0개월,"28일 차아기, 20분직수 후 수면 좀 요ㅜ",차 아기 후 수면 좀 요
181, 어떻게 좀 가르쳐주세요 ㅜㅜ,0개월,어떻게 좀 가르쳐 주세요 ㅜㅜ,좀
182,애기가모유을빠는 시이요 왜이러는건지..도와쥬세요ㅜㅜ,0개월,애기가 모유을 빠는 시이요 왜 이러는 건지..도와 쥬세요 ㅜㅜ,애기 모유 을 이요 왜 도 쥬세
183,출산 4일차 유축 늘까요?,0개월,출산 4일차 유축 늘까요?,출산 유축 요
184,첫 유축  시 15분씩 하는게  좋나요?,0개월,첫 유축 시 15분씩 하는 게 좋나요?,첫 유축 시 게
185,"신생아 모유중 우유, 치즈음식 먹어도 되나요?",0개월,"신생아 모유 중 우유, 치즈 음식 먹어도 되나요?",신생아 모유 중 우유 치즈 음식
186,모유 시때 등이 아플 수 있나요??,0개월,모유 시간 때 등이 아플 수 있나요??,모유 시간 때 등 수
187,모유살<U+0001F62D>,0개월,모유 살<U+0001F62D>,모유 살
188,왕초보맘니다..하는법좀 알려주세요^^;;,0개월,왕초보맘니다.. 하는 법 좀 알려주세요 ;;,왕초보 맘니 법 좀
189,제왕4일차예요,0개월,제왕 4일 차예요,제왕 차
190,제왕절 후 모유,0개월,제왕절 후 모유,제왕 절 후 모유
191,유축 80~100나오는데요ㅠ두시인데 벌써차요,0개월,유축 80~100 나오는데요 ㅠ 두 시인데 벌써 차요,유축 두 시 벌써 차요
192,모유양이 넘 적어요ㅠ,0개월,모유양이 넘 적어요ㅠ,모유
193,출산날에 인분유 갖다드리는건 별루인가요?,0개월,출산날에 인 분유 갖다드리는 건 별 루인가요?,출산 날 인 분유 건 별 루
194,유두가 부풀어오름,0개월,유두가 부 풀어 오름,유두 부 오름
195,모유하는 아기도 시수 안하는날이 오나요,0개월,모유하는 아기도 시 수 안 하는 날이 오나요,모유 아기 시 수 안 날
196,다유,0개월,다유,유
197,20일 신생아인데 분유가 라서 그러나요?,0개월,20일 신생아인데 분유가 라서 그러나요?,신생아 분유 라서
198,모유차는 시?,0개월,모유차는 시?,유차 시
199,모유때문에 스트레스가 장난아니네요ㅜ,0개월,모유 때문에 스트레스가 장난 아니네요ㅜ,모유 때문 스트레스 장난
200,제왕절 후 모유,0개월,제왕절 후 모유,제왕 절 후 모유
201,모유가 안나올 수도 있나요??,0개월,모유가 안 나올 수도 있나요??,모유 안 수도
202,20일 신생아 먹는거 문이요ㅠ,0개월,20일 신생아 먹는 거 문이 요ㅠ,신생아 거 문 요
203,"후디스 산양 먹이는데, 분유 갈아타라 말아라 조언해주세요ㅠㅠㅠㅠ",0개월,"후디스 산양 먹이는데, 분유 갈아타라 말아라 조언해주세요 ㅠㅠㅠㅠ",후 디스 산양 분유 조언
204,도와주세요,0개월,도와 주세요,도
205,모유 팁과 응원부탁드려요ㅜㅜ,0개월,모유 팁과 응원부탁드려요ㅜㅜ,모유 팁 응원
206,신생아 게어냄과 토해도 먹을시되면,0개월,신생아 게 어냄과 토 해도 먹을 시 되면,신생아 게 어냄 토 해도 시
207,조리원에서 유축 꼭 해야하는건가요?,0개월,조리원에서 유축 꼭 해야 하는 건가요?,조리 유축 꼭 건가
208,모유중 자면 안먹어요ㅠ,0개월,모유 중 자면 안 먹어요ㅠ,모유 중 안
209,분유해주세요ㅠㅠ,0개월,분유해주세요 ㅠㅠ,분유
210,신생아 거의 시.. 잘하고 있는건가요?,0개월,신생아 거의 시간.. 잘하고 있는 건가요?,신생아 거의 시간 건가
211,다유약받아왔어요,0개월,다유약 받아왔어요,유약
212,모유젖꼭지모유모유젖꼭지 중인데요ㅠ,0개월,젖꼭지 종류 모유 젖꼭지 중인데요ㅠ,젖꼭지 종류 모유 젖꼭지 중 요
213,모유젖꼭지모유모유젖꼭지,0개월,젖꼭지 종류 모유 젖꼭지,젖꼭지 종류 모유 젖꼭지
214,유축하실때요,0개월,유축하실 때요,유 축하 실 때
215,무지한 엄마 아빠때문에 배앓이 한거같아요,0개월,무지한 엄마 아빠 때문에 배앓이 한 거 같아요,엄마 아빠 때문 배앓이 거
216,도와주세요,0개월,도와 주세요,도
217,신생아 모유 ..,0개월,신생아 모유 ..,신생아 모유
218,분유+모유 섞으면 안되는 가...?,0개월,분유 +모유 섞으면 안 되는 가...?,분유 모유 안
219,12일 아기 콜 와서 올라가면 수면만자요,0개월,12일 아기 콜 와서 올라가면 수면만 자요,아기 콜 수면 자
220,모유가 거의 안나와요,0개월,모유가 거의 안 나와요,모유 거의 안
221,모유 문드립니다ㅠㅡㅠ잘 하고 있는건가요?!,0개월,모유 문드립니다ㅠㅡㅠ 잘 하고 있는 건가요?!,모유 문 건가
222,초유 끝난건지 봐주세요ㅠ,0개월,초유 끝난 건지 봐주세요ㅠ,초유
223,"아니, 하는 동안 아기들이 가만히 있는건가요?! 정녕?!?! 진짜로?????",0개월,"아니, 하는 동안 아기들이 가만히 있는 건가요?! 정녕?!?! 진짜로?????",동안 아기 건가 정녕 진짜
224,30일 아기 분유 랑 도와주세요 ㅠㅠ,0개월,30일 아기 분유 랑 도와주세요 ㅠㅠ,아기 분유
225,유축 시에서 혼합이요,0개월,유축 시간에서 혼합이요,유축 시간 혼합
226,모유가 잘안나와요.,0개월,모유가 잘 안나와요.,모유
227,신생아 할때 깨우는 법 알려주세요,0개월,신생아 할 때 깨우는 법 알려주세요,신생아 때 법
228,신생아 분유 또 바꿔야 될까요 ?ㅜㅜ,0개월,신생아 분유 또 바꿔야 될까요 ?ㅜㅜ,신생아 분유 또 요
229,신생아 분유 탈때요!,0개월,신생아 분유 탈 때 요!,신생아 분유 탈 때 요
230,모유는 이 없나여...??,0개월,모유는 이 없나여...??,모유 이
231,출산8일째 모유량이너무적어요..,0개월,출산 8일째 모 유량이 너무 적어요..,출산 모 유량
232,중에 독감 약 맞을수 있나요?,0개월,중에 독감 약 맞을 수 있나요?,중 독감 약 수
233,모유 안무는 아이 아**곡 같은 곳에서 교정가능할까요?,0개월,모유 안무는 아이 아* *곡 같은 곳에서 교정 가능할까요?,모유 안무 아이 곡 곳 교정 요
234,혼합 유두인거요?,0개월,혼합 유두인 거요?,혼합 유두 거
235,지금 조리데요 셀프말이예요,0개월,지금 조리데요 셀프 말이예요,지금 조리 데 셀프 말
236,초유만먹이고 분유할예정이면 아예 모유안먹이는게 낫나요?,0개월,초유만 먹이고 분유할 예정이면 아예 모유 안 먹이는 게 낫나요?,초유 먹이 분유 예정 이면 아예 모유 안 게
237,조리원 퇴소 이후부터 바로 분유 해도 될까요?,0개월,조리원 퇴소 이후부터 바로 분 유 해도 될까요?,조리 퇴소 이후 바로 분 유 해도 요
238,제왕 후 첫 유축,0개월,제왕 후 첫 유축,제왕 후 첫 유축
239,제왕출산5일차 직수하는데 가슴이 단단하고 아파요,0개월,제왕 출산 5일차 직수하는데 가슴이 단단하고 아파요,제왕 출산 직 수하 데 가슴
240,모유양이 너무 많아요,0개월,모유양이 너무 많아요,모유
241,모유량이 부족할까요?? ㅠ,0개월,모유량이 부족할까요?? ㅠ,유량 요
